player_a,player_b,player_a_ranking,player_b_ranking,ranking_difference,player_a_recent_win_rate,player_b_recent_win_rate,player_a_wins
Andy Murray,Matteo Berrettini,68.0,10.0,-58.0,0.6,0.7,0
Borna Coric,Stefanos Tsitsipas,152.0,7.0,-145.0,0.5,0.8,1
Alex De Minaur,Andy Murray,22.0,43.0,21.0,0.7,0.6,1
Jakub Mensik,Alejandro Davidovich Fokina,116.0,24.0,-92.0,0.7,0.6,1
Stan Wawrinka,Pedro Cachin,60.0,74.0,14.0,0.2,0.3,1
Shintaro Mochizuki,Arthur Rinderknech,156.0,66.0,-90.0,0.3,0.4,0
Francisco Cerundolo,Andrey Rublev,30.0,8.0,-22.0,0.7,0.7,1
Lorenzo Sonego,Pablo Carreno Busta,28.0,19.0,-9.0,0.3,0.5,0
Adrian Mannarino,Novak Djokovic,19.0,1.0,-18.0,0.7,0.7,0
Stan Wawrinka,Max Purcell,51.0,70.0,19.0,0.7,0.2,0
Alejandro Davidovich Fokina,Botic Van De Zandschulp,44.0,29.0,-15.0,0.6,0.4,0
Miomir Kecmanovic,Max Purcell,53.0,94.0,41.0,0.5,0.3,0
Frances Tiafoe,Borna Gojo,11.0,77.0,66.0,0.6,0.4,0
Rinky Hijikata,Miomir Kecmanovic,79.0,54.0,-25.0,0.5,0.5,1
Hubert Hurkacz,John Isner,10.0,50.0,40.0,0.7,0.7,0
J J Wolf,Zachary Svajda,143.0,109.0,-34.0,0.1,0.2,1
Dominic Thiem,Hubert Hurkacz,182.0,10.0,-172.0,0.6,0.6,0
Marco Cecchinato,Nicolas Jarry,89.0,28.0,-61.0,0.5,0.7,0
Stefan Kozlov,Rafael Nadal,130.0,5.0,-125.0,0.5,1.0,0
Arthur Fils,Nuno Borges,35.0,66.0,31.0,0.6,0.4,1
Brandon Nakashima,Bernabe Zapata Miralles,122.0,70.0,-52.0,0.4,0.3,1
Max Purcell,Alexander Bublik,101.0,17.0,-84.0,0.2,0.5,0
Maxime Cressy,Jack Sock,32.0,105.0,73.0,0.7,0.5,1
Dominik Koepfer,Soon Woo Kwon,145.0,77.0,-68.0,0.2,0.3,1
Taylor Fritz,Cristian Garin,13.0,29.0,16.0,0.9,0.3,0
Hugo Gaston,Soon Woo Kwon,69.0,55.0,-14.0,0.4,0.6,0
Fabio Fognini,Sebastian Ofner,130.0,118.0,-12.0,0.5,0.4,0
Alexander Zverev,Daniil Medvedev,17.0,3.0,-14.0,0.8,0.8,1
Elias Ymer,Sumit Nagal,202.0,68.0,-134.0,0.3,0.3,0
Holger Rune,Flavio Cobolli,13.0,53.0,40.0,0.6,0.6,1
Diego Schwartzman,Yibing Wu,48.0,56.0,8.0,0.3,0.7,1
Jiri Lehecka,Daniil Medvedev,37.0,3.0,-34.0,0.4,0.7,0
Lukas Klein,Stefanos Tsitsipas,149.0,5.0,-144.0,0.2222222222222222,0.7,0
Matteo Berrettini,Thiago Monteiro,6.0,106.0,100.0,0.6,0.5,1
